figure_name,source_freshness,source_type,last_checked,visual_evidence_mode,reader_risk,long_description,notes
section_word_counts,periodic,manuscript_metric,2026-05-18,computed_metric,low,Horizontal bars compare analyzed manuscript word counts by section and part with a mean reference line and part grouping so reviewers can see where prose weight concentrates,Regenerate after manuscript section changes.
readability_metrics,periodic,manuscript_metric,2026-05-18,computed_metric,low,Two coordinated panels compare Flesch Reading Ease and Flesch-Kincaid grade level by manuscript part so reviewers can assess prose register without treating readability as truth validation,Regenerate after manuscript section changes.
citation_density,periodic,manuscript_metric,2026-05-18,computed_metric,medium,Horizontal bars compare citation tokens per thousand words by section against the configured floor so reviewers can identify evidence-coverage gaps before claim-fit review,Counts citations but does not prove source fit.
nested_systems_map,static,conceptual_synthesis,2026-05-18,schematic_diagram,low,Four columns organize Space and Time and People and Ideas into nested scale levels with converging arrows that show the manuscript argument as a systems frame,Conceptual diagram grounded in manuscript structure.
population_trend,periodic,mixed_public_data,2026-05-18,chart,medium,A line chart traces official and estimate population points over time while annotations distinguish city counts from broader demographic interpretation and group-quarters effects,Refresh when Census ACS or DOF estimates change.
economic_sectors,periodic,mixed_public_data,2026-05-18,chart,medium,Grouped bars compare employment sectors across decades and overlay 2020 sector scale markers so readers can see the shift from extraction toward public and visitor economies,Refresh if source definitions or sector estimates change.
tsunami_timeline,low_change,mixed_public_data,2026-05-18,timeline,medium,A dated event timeline separates disaster records and geological proxies and historical reports so tsunami events are visible without making all evidence classes equivalent,Refresh if NOAA USGS or literature records revise event details.
disaster_impact,low_change,mixed_public_data,2026-05-18,chart,medium,Horizontal bars compare reported tsunami fatalities for events with death counts and keep the claim limited to reported human impact rather than total damage,Refresh if historical fatality records are corrected.
tsunami_inundation_diagram,low_change,mixed_public_data,2026-05-18,schematic_diagram,medium,A schematic water-level sequence shows the four 1964 waves and a harbor cross-section to explain why the fourth wave carried the destructive force,Not a gauge-accurate hydraulic model.
historical_timeline,volatile,mixed_public_data,2026-05-18,timeline,high,A multi-category event scatter places long historical events and recent audited public-status rows on one chronology while marker styles distinguish source and disaster classes,Recent rows require current-event refresh.
regional_map,low_change,schematic_public_context,2026-05-18,schematic_map,medium,A stylized regional map locates Crescent City and highways and rivers and parks so place names in the manuscript have a shared spatial reference,Not survey-grade or navigational.
tolowa_villages_map,static,sensitive_public_summary,2026-05-18,schematic_diagram,high,A location-generalized schematic shows public Tolowa Dee-ni place relationships and neighboring linguistic context without exposing protected places or identifiers,Sensitive cultural material remains generalized.
redwood_decline_chart,periodic,mixed_public_data,2026-05-18,chart,medium,A filled historical curve and milestone labels show old-growth coast-redwood decline and conservation interventions as rounded synthesis estimates rather than exact annual inventory,Refresh if conservation estimates change.
cascadia_paleoseismology,periodic,mixed_public_data,2026-05-18,timeline,high,Vertical event sticks summarize Cascadia paleoseismic recurrence interpretation and probability annotations while separating full-margin and southern-segment evidence for reviewer caution,Probabilities remain model outputs.
jefferson_map,static,schematic_public_context,2026-05-18,schematic_map,medium,A simplified county map shows the proposed State of Jefferson geography and reference towns as political orientation rather than legal boundary reconstruction,Historical schematic not a boundary source.
climograph,low_change,official_data,2026-05-18,chart,low,Monthly temperature and precipitation and wet-day normals from the Crescent City airport station show the maritime climate regime and its seasonal wet-dry pattern,Represents station normals not microclimates.
harbor_timeline,periodic,mixed_public_data,2026-05-18,timeline,medium,Event markers and era bands summarize major Crescent City harbor engineering and disaster milestones while omitting routine maintenance and minor repairs,Refresh if harbor public records change.
currents_timeline,volatile,official_project_status,2026-05-18,timeline,high,Domain lanes plot 2024 to 2026 public events with source-tier marker styles so unsettled journalism-backed and scheduled records do not look as settled as official records,Requires current-event refresh before release.
sea_level_scenarios,periodic,mixed_public_data,2026-05-18,scenario_comparison,high,Observed trends and projection bands and a separate Cascadia subsidence marker share one vertical scale while preserving measured projected and modeled evidence classes,Do not read as a single forecast.
smith_river_protection,low_change,official_data,2026-05-18,chart,medium,Stacked designation miles and watershed context show the Smith River as nested legal geography rather than only a channel-length statistic,Refresh if designation or agency records change.
housing_pipeline,volatile,official_project_status,2026-05-18,chart,high,Project bars distinguish planned units and committed vouchers and funding awards so the housing pipeline is not mistaken for delivered affordable inventory,Refresh before any public release.
last_chance_grade_profile,volatile,official_project_status,2026-05-18,chart,high,A compact dashboard compares Last Chance Grade risk and selected tunnel-alternative metrics while preserving cost and schedule as planning-stage estimates,Refresh when Caltrans updates project estimates.
archaeology_evidence_ladder,static,sensitive_public_summary,2026-05-18,evidence_ladder,high,A generalized evidence ladder orders public archaeological and ethnographic and legal evidence classes while withholding site-specific cultural-resource details,Sensitive site locations are deliberately excluded.
rural_health_access_network,periodic,mixed_public_data,2026-05-18,network,high,A schematic service network links hospital and clinics and tribal services and county programs and transport pathways to show access relationships rather than measured patient flows,Does not measure adequacy or outcomes.
